fecha,hora,proyecto,titulo_youtube,video,carpeta,semana,nota_guion,revisar_a_mano
2026-09-16,12:00,Historia26,Hermitage: Los gatos imperiales que protegen el arte desde 1745,publicar/Historia26/Historia26.mp4,publicar/Historia26/,1,6,no
2026-09-17,12:00,Historia27,Shackleton y Hurley: El Misterio del Endurance en la Antártida,publicar/Historia27/Historia27.mp4,publicar/Historia27/,1,8,no
2026-09-18,12:00,Historia28,Manuscritos de Tombuctú: El arriesgado éxodo que desafió a la guerra,publicar/Historia28/Historia28.mp4,publicar/Historia28/,1,6,no
2026-09-19,12:00,Historia29,Thonis-Heracleion: la ciudad sumergida que corrigió a los griegos,publicar/Historia29/Historia29.mp4,publicar/Historia29/,1,6,no
2026-09-20,12:00,Historia30,Brooklyn Bridge: El misterio de la enfermedad en su construcción,publicar/Historia30/Historia30.mp4,publicar/Historia30/,1,6,no
2026-09-21,12:00,Historia31,Reloj Astronómico de Praga: Las figuras ocultas tras la guerra,publicar/Historia31/Historia31.mp4,publicar/Historia31/,1,6,no
2026-09-22,12:00,Historia32,Navajos: El idioma clave de EE.UU. en la Segunda Guerra Mundial,publicar/Historia32/Historia32.mp4,publicar/Historia32/,1,8,no
2026-09-23,12:00,Historia33,Estatua de la Libertad: el increíble viaje desmontada hacia Nueva York,publicar/Historia33/Historia33.mp4,publicar/Historia33/,2,6,no
2026-09-24,12:00,Historia34,Moái de Rapa Nui: el sorprendente secreto detrás de su traslado,publicar/Historia34/Historia34.mp4,publicar/Historia34/,2,6,no
2026-09-25,12:00,Historia35,Instituto Vavílov: el tesoro escondido bajo el asedio de Leningrado,publicar/Historia35/Historia35.mp4,publicar/Historia35/,2,6,no
2026-09-26,12:00,Historia36,Tulipomanía: Cuando un tulipán costaba más que una casa en Holanda,publicar/Historia36/Historia36.mp4,publicar/Historia36/,2,6,no
2026-09-27,12:00,Historia37,Hachikō: El destino sorprendente del perro más fiel de Japón,publicar/Historia37/Historia37.mp4,publicar/Historia37/,2,6,no
2026-09-28,12:00,Historia38,Cher Ami: La paloma que desafió la guerra en el bosque de Argonne,publicar/Historia38/Historia38.mp4,publicar/Historia38/,2,6,no
2026-09-29,12:00,Historia39,Ferdinand Cheval: El cartero que cargó piedras para un palacio,publicar/Historia39/Historia39.mp4,publicar/Historia39/,2,7,no
2026-09-30,12:00,Historia40,Mary Anning: la mujer que desenterró criaturas olvidadas en Lyme Regis,publicar/Historia40/Historia40.mp4,publicar/Historia40/,3,6,no
2026-10-01,12:00,Historia41,Annie Edson Taylor: la maestra que desafió el Niágara en su cumpleaños,publicar/Historia41/Historia41.mp4,publicar/Historia41/,3,7,no
2026-10-02,12:00,Historia42,Philippe Petit: El hombre que desafió las Torres Gemelas y la ley,publicar/Historia42/Historia42.mp4,publicar/Historia42/,3,6,no
2026-10-03,12:00,Historia44,Elisha Otis: El Experimento en NY que Cambió las Ciudades para Siempre,publicar/Historia44/Historia44.mp4,publicar/Historia44/,3,7,no
2026-10-04,12:00,Historia45,Jumbo: el elefante de Barnum cuya muerte no fue el final del show,publicar/Historia45/Historia45.mp4,publicar/Historia45/,3,6,no
